crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 80 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 서비스 | tco_btc_nm: 사진관 | sl_am: 109000 | sl_ct: 7
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 50 | tco_bt_hlv_c_nm: 의료/보험/위생 | tco_bt_mcls_c_nm: 의료기관 | tco_btc_nm: 동물(가축)병원 | sl_am: 81438000 | sl_ct: 793
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 30 | tco_bt_hlv_c_nm: 의료/보험/위생 | tco_bt_mcls_c_nm: 의료기관 | tco_btc_nm: 소아청소년과 | sl_am: 234518000 | sl_ct: 8345
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 80 | tco_bt_hlv_c_nm: 의료/보험/위생 | tco_bt_mcls_c_nm: 의료기관 | tco_btc_nm: 한의원/한방병원 | sl_am: 7966000 | sl_ct: 169
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 80 | tco_bt_hlv_c_nm: 의생활 | tco_bt_mcls_c_nm: 의류 | tco_btc_nm: 내의/Y셔츠판매 | sl_am: 1248000 | sl_ct: 34
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 30 | tco_bt_hlv_c_nm: 의생활 | tco_bt_mcls_c_nm: 의류 | tco_btc_nm: 옷감/직물 | sl_am: 356000 | sl_ct: 4
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 80 | tco_bt_hlv_c_nm: 의생활 | tco_bt_mcls_c_nm: 잡화 | tco_btc_nm: 안경점 | sl_am: 3499000 | sl_ct: 31
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 20 | tco_bt_hlv_c_nm: 자동차/주유소 | tco_bt_mcls_c_nm: 자동차판매 | tco_btc_nm: 오토바이판매 | sl_am: 3044000 | sl_ct: 7
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 30 | tco_bt_hlv_c_nm: 주생활 | tco_bt_mcls_c_nm: 생활용품 | tco_btc_nm: 조경/화원 | sl_am: 33886000 | sl_ct: 574
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 20 | tco_bt_hlv_c_nm: 유통 | tco_bt_mcls_c_nm: 유통업 | tco_btc_nm: 농협운영 연쇄점 | sl_am: 9268000 | sl_ct: 282
